year,age,births
2001,23,2058
2001,24,2154
2001,25,2451
2001,26,2598
2001,27,3051
2001,28,3354
2001,29,3645
2001,30,3822
2001,31,3690
2001,32,3495
2001,33,3159
2001,34,2844
2001,35,2400
2001,36,2034
2001,37,1749
2001,38,1344
2001,39,987
2001,40,690
2001,41,411
2001,42,252
2001,43,150
2001,44,72
2001,45,42
2001,46,21
2002,14,24
2002,15,99
2002,16,318
2002,17,699
2002,18,1077
2002,19,1401
2002,20,1572
2002,21,1689
2002,22,1923
2002,23,1995
2002,24,2088
2002,25,2286
2002,26,2364
2002,27,2685
2002,28,3015
2002,29,3396
2002,30,3561
2002,31,3642
2002,32,3507
2002,33,3324
2002,34,2892
2002,35,2553
2002,36,1989
2002,37,1638
2002,38,1410
2002,39,1062
2002,40,717
2002,41,486
2002,42,303
2002,43,147
2002,44,87
2002,45,39
2002,46,15
2003,14,24
2003,15,114
2003,16,348
2003,17,789
2003,18,1086
2003,19,1419
2003,20,1578
2003,21,1797
2003,22,1902
2003,23,2046
2003,24,2139
2003,25,2328
2003,26,2553
2003,27,2676
2003,28,3036
2003,29,3399
2003,30,3555
2003,31,3732
2003,32,3705
2003,33,3375
2003,34,3156
2003,35,2730
2003,36,2310
2003,37,1785
2003,38,1416
2003,39,1065
2003,40,846
2003,41,525
2003,42,339
2003,43,168
2003,44,96
2003,45,36
2003,46,30
2004,14,30
2004,15,126
2004,16,381
2004,17,783
2004,18,1179
2004,19,1542
2004,20,1683
2004,21,1803
2004,22,1992
2004,23,2196
2004,24,2286
2004,25,2391
2004,26,2532
2004,27,2799
2004,28,2988
2004,29,3363
2004,30,3636
2004,31,3873
2004,32,3891
2004,33,3585
2004,34,3306
2004,35,2892
2004,36,2337
2004,37,1854
2004,38,1434
2004,39,1080
2004,40,807
2004,41,522
2004,42,354
2004,43,234
2004,44,102
2004,45,54
2004,46,18
2005,14,36
2005,15,126
2005,16,375
2005,17,789
2005,18,1284
2005,19,1527
2005,20,1668
2005,21,1758
2005,22,1923
2005,23,2079
2005,24,2280
2005,25,2415
2005,26,2547
2005,27,2718
2005,28,2904
2005,29,3213
2005,30,3453
2005,31,3702
2005,32,3837
2005,33,3630
2005,34,3354
2005,35,2883
2005,36,2469
2005,37,1968
2005,38,1530
2005,39,1176
2005,40,768
2005,41,588
2005,42,348
2005,43,195
2005,44,108
2005,45,54
2005,46,15
2006,14,30
2006,15,114
2006,16,438
2006,17,900
2006,18,1254
2006,19,1632
2006,20,1794
2006,21,1980
